"","Addams_Family_email","Addams_Family_name","Addams_Family_years_in_lux","Addams_Family_years_at_uw","Addams_Family_writer/director?","Addams_Family_writer/director film","Addams_Family_pref_prod_1","Addams_Family_pref_prod_2","Addams_Family_pref_prod_3","Addams_Family_pref_role_1","Addams_Family_pref_role_2","Addams_Family_pref_role_3","Addams_Family_importance","Addams_Family_notes"
"Director","smunguia@uw.edu","Ben Dover",3,4,"Yes","Addams Family","","","","","","","",""
"Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Special Effects","smunguia@uw.edu","Wade",2,3,"No","","Addams Family","Batman","Cars","Special Effects","Camera Operator","Assistant Camera Operator","Role",""
"Editor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Director of Photography","jessss99@uw.edu","Jessica Shattuck ",1000,1000000,"No","","Addams Family","Cars","Dracula","Director of Photography","Assistant Director","Sound","Production","Nothing else"
"Assistant Director",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Soundtrack","rekisela@uw.edu","Donald Glover",3,4,"No","","Addams Family","Cars","Batman","Soundtrack","Sound","Editor","Role","This is America"
"Camera Operator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Assistant Camera Operator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sound Recordist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boom Operator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Makeup",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Art Department",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Costume",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Script Supervisor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Production Assistant","rekisela@uw.edu","Jim Jones",2,3,"No","","Addams Family","Batman","Dracula","Production Assistant","Director of Photography","Producer","Role","Here is my resume: mywebsite.com"
