"","Batman_email","Batman_name","Batman_years_in_lux","Batman_years_at_uw","Batman_writer/director?","Batman_writer/director film","Batman_pref_prod_1","Batman_pref_prod_2","Batman_pref_prod_3","Batman_pref_role_1","Batman_pref_role_2","Batman_pref_role_3","Batman_importance","Batman_notes"
"Director","jessss99@uw.edu","Jdizzle shizzle",5,7,"Yes","Batman","","","","","","","",""
"Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Special Effects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Editor","jessss99@uw.edu","Guy Fieri",2,3,"No","","Batman","Cars","Dracula","Editor","Makeup","Art Department","Production","I’m from flavortown"
"Director of Photography",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Assistant Director","rekisela@uw.edu","Fake Entry",1,1,"No","","Batman","Dracula","Cars","Director","Assistant Director","Producer","Production","nope"
"Soundtrack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Camera Operator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Assistant Camera Operator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sound Recordist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boom Operator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Makeup","jessss99@uw.edu","Guy Fieri",2,3,"No","","Batman","Cars","Dracula","Editor","Makeup","Art Department","Production","I’m from flavortown"
"Art Department",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Costume",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Script Supervisor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
