"","rowname","Ace_Ventura_email","Ace_Ventura_name","Ace_Ventura_years_in_lux","Ace_Ventura_years_at_uw","Ace_Ventura_writer/director?","Ace_Ventura_writer/director film","Ace_Ventura_pref_prod_1","Ace_Ventura_pref_prod_2","Ace_Ventura_pref_prod_3","Ace_Ventura_pref_role_1","Ace_Ventura_pref_role_2","Ace_Ventura_pref_role_3","Ace_Ventura_importance","Ace_Ventura_notes","Contact_email","Contact_name","Contact_years_in_lux","Contact_years_at_uw","Contact_writer/director?","Contact_writer/director film","Contact_pref_prod_1","Contact_pref_prod_2","Contact_pref_prod_3","Contact_pref_role_1","Contact_pref_role_2","Contact_pref_role_3","Contact_importance","Contact_notes","Blazing_Saddles_email","Blazing_Saddles_name","Blazing_Saddles_years_in_lux","Blazing_Saddles_years_at_uw","Blazing_Saddles_writer/director?","Blazing_Saddles_writer/director film","Blazing_Saddles_pref_prod_1","Blazing_Saddles_pref_prod_2","Blazing_Saddles_pref_prod_3","Blazing_Saddles_pref_role_1","Blazing_Saddles_pref_role_2","Blazing_Saddles_pref_role_3","Blazing_Saddles_importance","Blazing_Saddles_notes"
"1","Director","rekisela@uw.edu","Jim Kisela",2,3,"Yes","Ace Ventura","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Special Effects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Editor","rekisela@uw.edu","Napoleon Bonaparte",2,4,"No","","Ace Ventura","Blazing Saddles","Contact","Editor","Special Effects","Camera Operator","Role","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Director of Photography",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Assistant Director",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Soundtrack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Camera Operator","rekisela@uw.edu","Ann Kisela",3,3,"No","","Ace Ventura","Contact","Blazing Saddles","Camera Operator","Assistant Director","Production Assistant","Role","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Assistant Camera Operator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Sound",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Makeup",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Art Department",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
