"","Contact_email","Contact_name","Contact_years_in_lux","Contact_years_at_uw","Contact_writer/director?","Contact_writer/director film","Contact_pref_prod_1","Contact_pref_prod_2","Contact_pref_prod_3","Contact_pref_role_1","Contact_pref_role_2","Contact_pref_role_3","Contact_importance","Contact_notes"
"Director",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Special Effects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Editor","rekisela@uw.edu","Rachel Kisela",2,2,"No","","Ace Ventura","Blazing Saddles","Contact","Editor","Production Assistant","Assistant Camera Operator","Role",""
"Director of Photography",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Assistant Director",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Soundtrack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Camera Operator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Assistant Camera Operator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sound",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Makeup","rekisela@uw.edu","Jamie Kisela",1,4,"No","","Contact","Ace Ventura","Blazing Saddles","Makeup","Sound","Producer","Production",""
"Art Department",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Costume",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Script Supervisor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Production Assistant","rekisela@uw.edu","Donald Duck",2,3,"No","","Contact","Blazing Saddles","Ace Ventura","Production Assistant","Camera Operator","Art Department","Role",""
